resourceName,expectedSize,actualSize,expectedFormat,actualFormat,alphaPass,checkerboardBaked,dynamicTextBaked,yizaiPass,stateSetConsistent,physicsSafePass,canAutoFix,fixAction,finalStatus,notes
home_bg,750x1334,941x1672,JPG,PNG,N/A,NO,NO,N/A,N/A,N/A,YES,按目标比例裁切/缩放并输出 JPG,AUTO_FIXED,首页氛围背景，不带按钮文字、分数数字
home_machine,750x1334,941x1672,PNG,PNG,NO,NO,NO,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 16.3%；等比居中到 750x1334,AUTO_FIXED,首页机器主体，透明，不能写动态数据
btn_start_normal,520x160,2260x696,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 27.3%；等比居中到 520x160,AUTO_FIXED,开始游戏按钮 normal
btn_start_pressed,520x160,2260x696,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 43.3%；等比居中到 520x160,AUTO_FIXED,开始游戏按钮 pressed
btn_start_disabled,520x160,2260x696,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 36.2%；等比居中到 520x160,AUTO_FIXED,开始游戏按钮 disabled
btn_task_normal,180x180,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 47.7%；等比居中到 180x180,AUTO_FIXED,任务入口按钮 normal
btn_task_pressed,180x180,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 75.1%；等比居中到 180x180,AUTO_FIXED,任务入口按钮 pressed
btn_task_disabled,180x180,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 66.6%；等比居中到 180x180,AUTO_FIXED,任务入口按钮 disabled
btn_rank_normal,180x180,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 31.9%；等比居中到 180x180,AUTO_FIXED,排行榜入口按钮 normal
btn_rank_pressed,180x180,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 60.8%；等比居中到 180x180,AUTO_FIXED,排行榜入口按钮 pressed
btn_rank_disabled,180x180,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 49.3%；等比居中到 180x180,AUTO_FIXED,排行榜入口按钮 disabled
btn_shop_normal,180x180,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 22.4%；等比居中到 180x180,AUTO_FIXED,商店入口按钮 normal
btn_shop_pressed,180x180,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 48.9%；等比居中到 180x180,AUTO_FIXED,商店入口按钮 pressed
btn_shop_disabled,180x180,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 45.4%；等比居中到 180x180,AUTO_FIXED,商店入口按钮 disabled
panel_daily_goal,220x110,1774x887,PNG,PNG,NO,NO,NO,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 39.2%；等比居中到 220x110,AUTO_FIXED,今日目标数据底板，不写具体数字
panel_best_score,220x110,1774x887,PNG,PNG,NO,NO,NO,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 42.7%；等比居中到 220x110,AUTO_FIXED,最高分数据底板，不写具体数字
panel_coin_balance,220x90,1961x802,PNG,PNG,NO,NO,NO,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 56.0%；等比居中到 220x90,AUTO_FIXED,亿仔币余额底板，不写数量
coin_icon,96x96,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 40.7%；等比居中到 96x96,AUTO_FIXED,亿仔币图标；当前不强制出现亿仔脸或 MAEE
game_shell,750x1334,940x1672,PNG,PNG,NO,NO,NO,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 12.0%；等比居中到 750x1334,AUTO_FIXED,主游戏机器外壳，不能遮挡玩法仓
game_playfield_bg,620x780,1118x1407,JPG,JPG,N/A,NO,N/A,N/A,N/A,N/A,YES,按目标比例裁切/缩放并输出 JPG,AUTO_FIXED,玻璃仓内部低干扰背景
game_playfield_frame,650x820,1117x1409,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 22.1%；等比居中到 650x820,NEEDS_REGEN,玻璃仓边框；中心透明区域仍检测到不透明棋盘格，无法可靠自动修复
hud_top,750x170,2172x724,PNG,PNG,NO,NO,NO,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 22.5%；等比居中到 750x170,AUTO_FIXED,顶部 HUD 底板，不带数字
panel_score,220x110,1774x887,PNG,PNG,NO,NO,NO,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 44.3%；等比居中到 220x110,AUTO_FIXED,分数面板，不写具体数字
panel_best,180x110,1604x980,PNG,PNG,NO,NO,NO,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 33.4%；等比居中到 180x110,AUTO_FIXED,最高分面板，不写具体数字
panel_next_ball,140x140,1254x1254,PNG,PNG,NO,YES,N/A,N/A,N/A,N/A,YES,从边缘和内部棋盘格生成 alpha，背景占比 69.9%；等比居中到 140x140,AUTO_FIXED,下一个球预览框
control_bar,520x150,2172x724,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 38.7%；等比居中到 520x150,AUTO_FIXED,底部控制台底板
btn_sound_on_normal,128x128,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 52.0%；等比居中到 128x128,AUTO_FIXED,声音开启按钮 normal
btn_sound_on_pressed,128x128,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 53.2%；等比居中到 128x128,AUTO_FIXED,声音开启按钮 pressed
btn_sound_on_disabled,128x128,1254x1254,PNG,PNG,NO,YES,N/A,N/A,N/A,N/A,YES,从边缘和内部棋盘格生成 alpha，背景占比 55.9%；等比居中到 128x128,AUTO_FIXED,声音开启按钮 disabled
btn_sound_off_normal,128x128,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 56.5%；等比居中到 128x128,AUTO_FIXED,静音按钮 normal
btn_sound_off_pressed,128x128,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 56.0%；等比居中到 128x128,AUTO_FIXED,静音按钮 pressed
btn_sound_off_disabled,128x128,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 58.8%；等比居中到 128x128,AUTO_FIXED,静音按钮 disabled
btn_pause_normal,128x128,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 56.9%；等比居中到 128x128,AUTO_FIXED,暂停按钮 normal
